DateTime,Max/Min,State,Fuel Type,Supply
26/08/2019 03:00,Min,NEM,Distributed PV,0
26/08/2019 03:00,Min,NEM,Gas,2185.391
26/08/2019 03:00,Min,NEM,Hydro,1137.291
26/08/2019 03:00,Min,NEM,Liquid Fuel,0.073
26/08/2019 03:00,Min,NEM,Utility-scale Solar,1.807
26/08/2019 03:00,Min,NEM,Wind,804.601
13/09/2019 05:00,Min,NEM,Battery,4.083
13/09/2019 05:00,Min,NEM,Biomass,41
13/09/2019 05:00,Min,NEM,Black coal,11001.092
13/09/2019 05:00,Min,NEM,Brown coal,3357.659
13/09/2019 05:00,Min,NEM,Distributed PV,0
13/09/2019 05:00,Min,NEM,Gas,2882.788
13/09/2019 05:00,Min,NEM,Hydro,1230.54
13/09/2019 05:00,Min,NEM,Liquid Fuel,0.26
13/09/2019 05:00,Min,NEM,Utility-scale Solar,1.036
13/09/2019 05:00,Min,NEM,Wind,504.958
22/09/2019 12:30,Max,NEM,Battery,7.205
22/09/2019 12:30,Max,NEM,Biomass,38.9
22/09/2019 12:30,Max,NEM,Black coal,8497.997
22/09/2019 12:30,Max,NEM,Brown coal,2402.812
22/09/2019 12:30,Max,NEM,Distributed PV,4491.321
22/09/2019 12:30,Max,NEM,Gas,674.307
22/09/2019 12:30,Max,NEM,Hydro,1133.28
22/09/2019 12:30,Max,NEM,Liquid Fuel,0.043
22/09/2019 12:30,Max,NEM,Utility-scale Solar,1906.706
22/09/2019 12:30,Max,NEM,Wind,2483.914
06/10/2019 14:00,Max,NEM,Battery,0.433
06/10/2019 14:00,Max,NEM,Biomass,12.416
06/10/2019 14:00,Max,NEM,Black coal,8315.946
06/10/2019 14:00,Max,NEM,Brown coal,2782.974
06/10/2019 14:00,Max,NEM,Distributed PV,3485.154
06/10/2019 14:00,Max,NEM,Gas,389.489
06/10/2019 14:00,Max,NEM,Hydro,807.239
06/10/2019 14:00,Max,NEM,Liquid Fuel,0.035
06/10/2019 14:00,Max,NEM,Utility-scale Solar,2121.003
06/10/2019 14:00,Max,NEM,Wind,3471.743
28/10/2019 04:30,Min,NEM,Battery,7.987
28/10/2019 04:30,Min,NEM,Biomass,44.383
28/10/2019 04:30,Min,NEM,Black coal,10949.578
28/10/2019 04:30,Min,NEM,Brown coal,3592.268
28/10/2019 04:30,Min,NEM,Distributed PV,0
28/10/2019 04:30,Min,NEM,Gas,2093.411
28/10/2019 04:30,Min,NEM,Hydro,836.263
28/10/2019 04:30,Min,NEM,Liquid Fuel,0.054
28/10/2019 04:30,Min,NEM,Utility-scale Solar,0.716
28/10/2019 04:30,Min,NEM,Wind,904.623
06/11/2019 12:00,Max,NEM,Battery,15.502
06/11/2019 12:00,Max,NEM,Biomass,38.466
06/11/2019 12:00,Max,NEM,Black coal,8529.828
06/11/2019 12:00,Max,NEM,Brown coal,3306.539
06/11/2019 12:00,Max,NEM,Distributed PV,5753.06
06/11/2019 12:00,Max,NEM,Gas,787.343
06/11/2019 12:00,Max,NEM,Hydro,471.775
06/11/2019 12:00,Max,NEM,Liquid Fuel,0.111
06/11/2019 12:00,Max,NEM,Utility-scale Solar,2111.984
06/11/2019 12:00,Max,NEM,Wind,3632.085
29/11/2019 04:00,Min,NEM,Battery,0.014
29/11/2019 04:00,Min,NEM,Biomass,33.95
29/11/2019 04:00,Min,NEM,Black coal,11792.542
29/11/2019 04:00,Min,NEM,Brown coal,4181.912
29/11/2019 04:00,Min,NEM,Distributed PV,0
29/11/2019 04:00,Min,NEM,Gas,1033.359
29/11/2019 04:00,Min,NEM,Hydro,1014.723
29/11/2019 04:00,Min,NEM,Liquid Fuel,0.019
29/11/2019 04:00,Min,NEM,Utility-scale Solar,0.209
29/11/2019 04:00,Min,NEM,Wind,700.088
02/12/2019 12:30,Max,NEM,Battery,0.073
02/12/2019 12:30,Max,NEM,Biomass,38.116
02/12/2019 12:30,Max,NEM,Black coal,9706.786
02/12/2019 12:30,Max,NEM,Brown coal,3985.718
02/12/2019 12:30,Max,NEM,Distributed PV,5209.739
